                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.83363,                 3.3172,                0.89082,                0.06957,                0.05714,                0.02161,                0.01893,                0.45438,                 4.1913,                0.84298,                  2e-05,                  2e-05,                  2e-05
                      1,                 1.0622,                 4.6993,                 1.0553,                0.05329,                0.05714,                0.02087,                0.01829,                0.45969,                 4.1739,                0.84294,              5.802e-05,              5.802e-05,              5.802e-05
                      2,                0.93017,                 3.5599,                 1.0126,                0.37046,                0.17143,                0.20294,                0.18969,                 0.4071,                 3.4464,                0.82157,               9.34e-05,               9.34e-05,               9.34e-05
                      3,                 1.1662,                 4.1971,                  1.101,                0.94535,                0.25714,                 0.3968,                0.32265,                0.43905,                 3.6925,                0.81495,             0.00012614,             0.00012614,             0.00012614
                      4,                0.40921,                 9.5942,                0.51445,                0.84004,                0.71429,                0.83956,                0.73379,                0.47939,                 2.8984,                0.81294,             0.00015624,             0.00015624,             0.00015624
                      5,                0.96635,                 3.2851,                 1.0215,                0.81107,                0.82857,                0.90022,                0.79373,                0.46225,                 3.4431,                0.78795,              0.0001837,              0.0001837,              0.0001837
                      6,                0.51866,                 1.4539,                0.89855,                0.74003,                0.73217,                0.85861,                0.73852,                  0.492,                 4.0751,                 0.7855,             0.00020852,             0.00020852,             0.00020852
                      7,                0.35046,                 7.9231,                0.46947,                0.33259,                0.42857,                0.47795,                0.43289,                0.48401,                 7.1372,                0.80025,              0.0002307,              0.0002307,              0.0002307
                      8,                0.56908,                 1.7365,                0.86369,                0.13154,                0.68571,                0.12963,                0.11376,                0.45115,                 10.852,                0.79615,             0.00025024,             0.00025024,             0.00025024
                      9,                 1.0398,                 2.3036,                 1.1294,                0.29097,                0.97143,                0.77202,                0.67045,                 0.4371,                 6.0769,                0.78252,             0.00026714,             0.00026714,             0.00026714
                     10,                0.58555,                 1.2076,                 0.9113,                0.39265,                      1,                0.84259,                0.77892,                0.39142,                  4.804,                0.76871,              0.0002814,              0.0002814,              0.0002814
                     11,                0.65727,                 1.2693,                0.95175,                0.56788,                0.78865,                0.82954,                0.78684,                 0.3656,                 3.6956,                0.76264,             0.00029302,             0.00029302,             0.00029302
                     12,                0.37985,                0.85735,                0.84699,                 0.9064,                0.83004,                0.96348,                0.89583,                0.37254,                 2.2526,                0.75919,               0.000302,               0.000302,               0.000302
                     13,                0.59407,                 1.2091,                0.84899,                0.99631,                      1,                  0.995,                0.92618,                0.38543,                  1.571,                0.75995,             0.00030834,             0.00030834,             0.00030834
                     14,                0.67192,                0.89708,                0.84535,                0.96748,                      1,                0.99444,                0.92541,                0.38552,                 1.3858,                0.76187,             0.00031204,             0.00031204,             0.00031204
                     15,                0.39724,                0.63743,                0.87707,                0.97072,                      1,                  0.995,                0.89847,                0.39618,                 1.4809,                0.76359,              0.0003131,              0.0003131,              0.0003131
                     16,                0.72674,                0.90863,                 1.0059,                0.92758,                0.97143,                0.96581,                0.86161,                0.43264,                 1.5492,                0.76945,             0.00031152,             0.00031152,             0.00031152
                     17,                0.51795,                 1.1225,                0.79992,                0.90969,                0.97143,                0.95312,                0.84682,                 0.4232,                 1.4571,                0.76755,              0.0003073,              0.0003073,              0.0003073
                     18,                0.26751,                 4.2803,                0.43567,                0.94513,                0.98445,                0.99135,                0.90663,                0.37501,                 1.2446,                  0.761,             0.00030044,             0.00030044,             0.00030044
                     19,                0.54434,                0.81282,                0.88477,                0.93837,                      1,                0.98965,                0.92021,                0.35008,                 1.1354,                0.75815,             0.00029094,             0.00029094,             0.00029094
                     20,                0.44911,                0.57854,                0.83277,                0.96692,                      1,                  0.995,                0.92587,                0.36209,                 1.0242,                0.76311,              0.0002788,              0.0002788,              0.0002788
                     21,                0.54874,                0.84587,                0.81027,                0.99193,                      1,                  0.995,                0.89459,                0.36922,                0.98023,                0.76308,             0.00026402,             0.00026402,             0.00026402
                     22,                0.54298,                0.53232,                0.86777,                0.99619,                      1,                  0.995,                0.88649,                0.37711,                0.97122,                0.76387,              0.0002466,              0.0002466,              0.0002466
                     23,                0.51735,                0.63816,                0.86996,                0.81161,                0.97143,                0.97485,                0.87691,                0.38899,                 1.3288,                0.76872,             0.00022654,             0.00022654,             0.00022654
                     24,                0.49547,                0.58906,                0.88694,                0.99493,                      1,                  0.995,                0.91099,                0.40216,                  1.153,                 0.7708,             0.00020384,             0.00020384,             0.00020384
                     25,                0.36184,                0.82365,                0.91645,                0.35368,                0.92251,                0.84145,                0.77084,                0.39674,                 2.2105,                0.76727,              0.0001785,              0.0001785,              0.0001785
                     26,                 0.5076,                 1.0042,                 1.0403,                0.34362,                0.94286,                0.78122,                0.73186,                0.39258,                 2.1981,                0.76982,             0.00015052,             0.00015052,             0.00015052
                     27,                0.57972,                0.67733,                0.93935,                0.34362,                0.94286,                0.78122,                0.73186,                0.39258,                 2.1981,                0.76982,              0.0001199,              0.0001199,              0.0001199
                     28,                0.40519,                0.73246,                0.87538,                0.99296,                0.97143,                0.98193,                 0.9143,                0.38753,                 1.3172,                0.76981,              8.664e-05,              8.664e-05,              8.664e-05
                     29,                0.55528,                0.68597,                0.90291,                      1,                0.99605,                  0.995,                 0.9249,                 0.3787,                0.90568,                0.76843,              5.074e-05,              5.074e-05,              5.074e-05
