                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.9916,                 1.7463,                 1.0268,                0.98414,                0.93333,                0.98794,                0.85142,                0.70373,                 1.8205,                0.98933,                      0,                      0,                      0
                      1,                 1.0831,                 1.5971,                 1.2431,                0.98292,                0.93333,                0.98794,                0.84366,                0.70136,                 1.8053,                0.98933,              1.934e-05,              1.934e-05,              1.934e-05
                      2,                  1.162,                 1.6095,                 1.1105,                0.98159,                0.93333,                  0.985,                0.85507,                0.70346,                 1.7937,                0.98852,              3.736e-05,              3.736e-05,              3.736e-05
                      3,                0.88171,                  1.468,                 1.1172,                0.98631,                0.93333,                  0.985,                0.83966,                 0.7011,                 1.7718,                0.98728,              5.406e-05,              5.406e-05,              5.406e-05
                      4,                 1.1339,                 1.5665,                 1.1412,                0.98979,                0.93333,                  0.985,                0.84517,                0.69906,                 1.7667,                0.98448,              6.944e-05,              6.944e-05,              6.944e-05
                      5,                0.93903,                 1.5691,                 1.0585,                0.99644,                0.93333,                0.97413,                0.78591,                 0.8183,                 2.3125,                0.99647,               8.35e-05,               8.35e-05,               8.35e-05
                      6,                 1.2448,                 1.8284,                 1.0979,                      1,                0.85781,                0.93573,                0.74152,                0.77323,                 2.6802,                0.98141,              9.624e-05,              9.624e-05,              9.624e-05
                      7,                 1.1563,                 1.5232,                 1.0832,                      1,                0.85597,                0.93751,                0.73135,                0.77707,                 2.6421,                 0.9821,             0.00010766,             0.00010766,             0.00010766
                      8,                 1.0454,                 1.9006,                 1.0835,                0.76247,                    0.8,                   0.85,                0.64469,                0.83388,                 2.8103,                 1.0159,             0.00011776,             0.00011776,             0.00011776
                      9,                 1.0972,                 1.8736,                0.97675,                      1,                0.77205,                0.91067,                 0.6984,                0.86533,                 2.3762,                 1.0518,             0.00012654,             0.00012654,             0.00012654
                     10,                 1.0777,                 1.3619,                 1.0348,                0.93087,                0.86667,                0.93894,                0.73256,                0.91705,                  1.974,                 1.0687,               0.000134,               0.000134,               0.000134
                     11,                 1.0024,                 1.4013,                 1.0475,                0.80744,                0.86667,                0.92177,                0.74894,                0.87296,                 1.7913,                 1.0539,             0.00014014,             0.00014014,             0.00014014
                     12,                 1.0327,                 1.4726,                 1.0734,                0.91429,                0.86667,                0.95335,                0.75156,                0.85856,                 1.5743,                  1.023,             0.00014496,             0.00014496,             0.00014496
                     13,                0.93434,                 1.2845,                 1.0185,                0.89564,                      1,                 0.9825,                0.76271,                0.79745,                 1.5528,                0.99035,             0.00014846,             0.00014846,             0.00014846
                     14,                 1.0938,                 1.5266,                 1.1162,                 0.9765,                0.93333,                0.99125,                 0.8097,                0.70152,                 1.3445,                0.95154,             0.00015064,             0.00015064,             0.00015064
                     15,                0.82613,                 1.1894,                 0.9897,                0.87609,                      1,                0.97971,                0.84449,                0.66374,                 1.3816,                0.93815,              0.0001515,              0.0001515,              0.0001515
                     16,                0.86033,                 1.3031,                 0.9849,                0.92149,                0.93333,                0.98033,                0.79186,                0.75056,                 1.4846,                0.95258,             0.00015104,             0.00015104,             0.00015104
                     17,                 1.0907,                 1.3412,                0.98305,                0.92149,                0.93333,                0.98033,                0.79186,                0.75056,                 1.4846,                0.95258,             0.00014926,             0.00014926,             0.00014926
                     18,                  1.018,                 1.3407,                 1.1354,                0.83106,                0.98453,                0.96696,                 0.7356,                0.78792,                 1.6743,                0.98451,             0.00014616,             0.00014616,             0.00014616
                     19,                0.93633,                 1.2236,                0.98566,                0.83106,                0.98453,                0.96696,                 0.7356,                0.78792,                 1.6743,                0.98451,             0.00014174,             0.00014174,             0.00014174
                     20,                 1.0344,                 1.3096,                 1.0089,                0.92435,                0.86667,                0.96216,                0.74176,                0.80517,                 1.5799,                 1.0056,               0.000136,               0.000136,               0.000136
                     21,                0.92261,                 1.0698,                0.98959,                0.92435,                0.86667,                0.96216,                0.74176,                0.80517,                 1.5799,                 1.0056,             0.00012894,             0.00012894,             0.00012894
                     22,                0.83223,                 1.0942,                 1.0128,                0.92465,                0.93333,                0.97567,                0.76859,                0.82338,                 1.4658,                 1.0118,             0.00012056,             0.00012056,             0.00012056
                     23,                0.97137,                 1.2186,                 1.0034,                0.92465,                0.93333,                0.97567,                0.76859,                0.82338,                 1.4658,                 1.0118,             0.00011086,             0.00011086,             0.00011086
                     24,                 1.0128,                 1.2259,                0.98366,                0.93699,                0.99182,                0.98688,                0.79414,                0.76225,                 1.3015,                0.98984,              9.984e-05,              9.984e-05,              9.984e-05
                     25,                0.89593,                 1.0345,                 1.0045,                0.93699,                0.99182,                0.98688,                0.79414,                0.76225,                 1.3015,                0.98984,               8.75e-05,               8.75e-05,               8.75e-05
                     26,                 1.0203,                0.98642,                0.97382,                0.93361,                      1,                0.98688,                0.80808,                0.69104,                 1.1706,                0.97618,              7.384e-05,              7.384e-05,              7.384e-05
                     27,                0.95898,                 1.0626,                 1.0593,                0.93361,                      1,                0.98688,                0.80808,                0.69104,                 1.1706,                0.97618,              5.886e-05,              5.886e-05,              5.886e-05
                     28,                0.78013,                 1.0089,                0.96437,                0.97955,                      1,                  0.995,                0.80738,                0.64883,                 1.1358,                0.95836,              4.256e-05,              4.256e-05,              4.256e-05
                     29,                0.92113,                  1.202,                 1.0691,                0.97955,                      1,                  0.995,                0.80738,                0.64883,                 1.1358,                0.95836,              2.494e-05,              2.494e-05,              2.494e-05
